C,BAND,SPEC,AGE,HA,SEX,BP,MONTH,DAY,YEAR,TIME,NET
N,243079901,HOWA,6,R,M,0,5,14,2005,64,10
R,243079901,HOWA,6,PS,M,0,7,15,2005,75,9
N,243079902,HOWA,6,PC,M,0,5,14,2005,64,10
R,243079902,HOWA,6,PS,M,0,5,28,2005,64,10
N,243079906,HOWA,6,PS,M,0,5,14,2005,84,3
N,243079907,HOWA,1,R,M,0,5,14,2005,84,3
R,243079907,HOWA,1,R,M,0,6,17,2005,93,4
N,243079909,HOWA,1,R,M,0,5,14,2005,94,6
R,243079909,HOWA,1,R,M,0,6,17,2005,83,6
N,243079910,HOWA,6,PS,M,0,5,14,2005,94,8
R,243079910,HOWA,6,PS,M,0,6,4,2005,64,7
R,243079910,HOWA,6,PS,M,0,6,17,2005,83,8
N,243079911,HOWA,6,R,F,3,5,14,2005,104,3
R,243079911,HOWA,6,PS,F,3,6,25,2005,84,3
N,243079916,HOWA,1,R,M,0,5,14,2005,104,1
R,243079916,HOWA,1,R,M,0,5,28,2005,104,6
R,243079916,HOWA,1,R,M,0,6,25,2005,74,2
N,243079918,HOWA,6,PS,F,1,5,14,2005,115,4
R,243079918,HOWA,6,PS,F,4,7,1,2005,83,3
N,243079919,HOWA,5,PS,F,2,5,14,2005,115,4
R,243079919,HOWA,5,PS,F,3,6,4,2005,94,4
N,243079922,HOWA,1,PB,F,2,5,28,2005,64,6
R,243079922,HOWA,1,R,F,4,6,25,2005,94,6
R,243079922,HOWA,1,PS,F,4,7,15,2005,75,7
N,243079923,HOWA,6,PS,F,4,5,28,2005,64,6
R,243079923,HOWA,6,PS,F,3,6,17,2005,73,5
N,243079924,HOWA,6,PS,M,0,5,28,2005,74,4
N,243079925,HOWA,6,PS,F,1,5,28,2005,84,10
N,243079926,HOWA,6,PS,M,0,5,28,2005,84,7
R,243079926,HOWA,6,PS,M,0,6,17,2005,93,8
N,243079927,HOWA,5,PS,F,3,5,28,2005,94,1
N,243079931,HOWA,5,PS,F,4,5,28,2005,104,5
N,243079937,HOWA,5,PS,F,2,6,4,2005,74,2
R,243079937,HOWA,5,PS,F,1,6,25,2005,84,2
R,243079937,HOWA,5,LS,F,4,7,15,2005,75,1
N,243079938,HOWA,1,PS,M,0,6,4,2005,74,2
N,243079939,HOWA,6,PS,M,0,6,4,2005,74,2
R,243079939,HOWA,6,PS,M,0,6,17,2005,93,2
