C,BAND,SPEC,AGE,SEX,BP,MONTH,DAY,YEAR,TIME,NET
N,122257903,NOCA,1,M,0,6,25,2005,84,3
N,122257904,NOCA,2,M,0,7,1,2005,83,8
N,198102901,NOCA,1,M,0,5,14,2005,64,1
R,198102901,NOCA,1,M,0,7,1,2005,63,1
R,198102901,NOCA,1,M,0,7,15,2005,95,1
R,198102901,NOCA,6,M,0,8,4,2007,64,1
N,198102902,NOCA,1,M,0,5,14,2005,64,4
R,198102902,NOCA,1,M,0,6,17,2005,64,4
R,198102902,NOCA,6,M,0,5,19,2006,83,3
R,198102902,NOCA,6,M,0,6,28,2007,73,2
R,198102902,NOCA,6,M,0,5,17,2008,64,4
R,198102902,NOCA,6,M,0,7,4,2009,83,10
N,198102903,NOCA,5,F,0,5,14,2005,64,4
R,198102903,NOCA,5,F,4,5,28,2005,114,4
R,198102903,NOCA,5,F,4,7,15,2005,85,4
N,198102904,NOCA,1,M,0,5,14,2005,64,5
R,198102904,NOCA,1,M,0,7,15,2005,75,5
N,198102905,NOCA,1,M,0,5,14,2005,64,5
N,198102906,NOCA,1,M,0,5,14,2005,64,9
R,198102906,NOCA,1,M,0,6,17,2005,64,4
N,198102907,NOCA,1,M,0,5,14,2005,74,8
N,198102908,NOCA,1,F,2,5,14,2005,74,3
N,198102909,NOCA,1,M,0,5,14,2005,94,9
R,198102909,NOCA,6,M,0,5,24,2007,74,7
R,198102909,NOCA,6,M,0,7,26,2008,84,7
N,198102910,NOCA,1,F,2,5,14,2005,104,7
R,198102910,NOCA,6,F,3,6,2,2006,111,8
N,198102911,NOCA,1,M,0,5,14,2005,104,8
R,198102911,NOCA,1,M,0,5,28,2005,74,8
N,198102912,NOCA,1,F,4,5,28,2005,64,8
N,198102913,NOCA,1,F,3,5,28,2005,64,3
N,198102914,NOCA,1,F,1,5,28,2005,64,3
R,198102914,NOCA,1,F,3,6,17,2005,73,3
R,198102914,NOCA,1,F,3,6,25,2005,64,3
R,198102914,NOCA,1,F,4,7,1,2005,73,3
N,198102915,NOCA,2,M,0,5,28,2005,84,7
N,198102916,NOCA,1,F,0,5,28,2005,84,2
N,198102917,NOCA,1,F,4,5,28,2005,94,6
N,198102918,NOCA,1,M,0,5,28,2005,94,6
R,198102918,NOCA,1,M,0,8,6,2005,120,6
R,198102918,NOCA,6,M,0,5,19,2006,63,6
N,198102919,NOCA,1,M,0,5,28,2005,114,8
R,198102919,NOCA,1,M,0,7,1,2005,93,8
R,198102919,NOCA,6,M,0,7,14,2007,83,8
R,198102919,NOCA,6,M,0,6,17,2009,63,9
N,198102920,NOCA,1,M,0,6,4,2005,74,5
N,198102921,NOCA,1,F,2,6,4,2005,74,1
R,198102921,NOCA,6,F,1,5,24,2007,64,6
N,198102922,NOCA,2,M,0,6,4,2005,114,5
N,198102923,NOCA,2,M,0,6,17,2005,73,5
N,198102924,NOCA,2,M,0,6,17,2005,83,8
N,198102925,NOCA,1,F,4,6,17,2005,113,9
N,198102926,NOCA,1,F,4,7,1,2005,83,8
N,198102927,NOCA,1,F,4,7,1,2005,83,10
R,198102927,NOCA,6,F,4,8,5,2006,115,10
N,198102928,NOCA,1,M,0,7,1,2005,83,2
N,198102929,NOCA,1,F,4,7,1,2005,83,2
N,198102930,NOCA,1,F,3,7,1,2005,83,10
N,198102931,NOCA,2,M,0,7,1,2005,93,3
N,198102932,NOCA,1,F,4,7,1,2005,113,3
N,198102933,NOCA,2,U,0,7,1,2005,113,6
N,198102934,NOCA,2,F,0,7,15,2005,85,4
N,198102935,NOCA,1,F,4,7,15,2005,85,1
N,198102936,NOCA,1,F,4,7,15,2005,85,5
N,198102937,NOCA,2,U,0,7,15,2005,95,5
N,198102938,NOCA,1,M,0,7,15,2005,95,8
R,198102938,NOCA,6,M,0,6,12,2010,93,6
N,198102939,NOCA,1,F,4,7,15,2005,105,2
N,198102940,NOCA,1,M,0,7,15,2005,105,2
N,198102941,NOCA,1,M,0,7,15,2005,105,10
R,198102941,NOCA,6,M,0,6,2,2006,62,10
R,198102941,NOCA,6,M,0,5,28,2011,63,10
N,198102942,NOCA,1,M,0,7,23,2005,75,5
N,198102943,NOCA,1,F,3,8,6,2005,70,5
N,198102944,NOCA,1,M,0,8,6,2005,90,4
N,198102945,NOCA,1,F,4,8,6,2005,110,2
N,198102947,NOCA,1,M,0,5,19,2006,63,5
R,198102947,NOCA,1,M,0,6,16,2006,93,5
R,198102947,NOCA,6,M,0,7,14,2007,73,5
R,198102947,NOCA,6,M,0,6,7,2008,93,5
R,198102947,NOCA,6,M,0,7,12,2008,113,1
R,198102947,NOCA,6,M,0,5,24,2009,73,6
N,198102948,NOCA,1,F,2,5,19,2006,73,5
R,198102948,NOCA,1,F,3,6,24,2006,82,5
N,198102949,NOCA,1,M,0,5,19,2006,83,5
R,198102949,NOCA,1,M,0,6,24,2006,62,5
N,198102950,NOCA,1,F,3,5,19,2006,93,2
N,198102951,NOCA,1,F,3,5,27,2006,63,10
R,198102951,NOCA,1,F,4,6,2,2006,62,10
R,198102951,NOCA,6,F,3,5,24,2007,84,10
N,198102952,NOCA,1,F,3,5,27,2006,103,9
R,198102952,NOCA,1,F,5,8,5,2006,85,9
N,198102953,NOCA,1,M,0,5,27,2006,103,8
R,198102953,NOCA,6,M,0,7,5,2007,73,9
N,198102954,NOCA,1,F,4,6,2,2006,62,1
N,198102955,NOCA,1,M,0,6,2,2006,72,4
N,198102956,NOCA,2,M,0,6,2,2006,82,3
R,198102956,NOCA,2,M,0,6,16,2006,73,1
N,198102957,NOCA,1,F,4,6,2,2006,92,7
R,198102957,NOCA,1,F,4,8,5,2006,85,8
R,198102957,NOCA,6,F,3,5,22,2010,93,7
N,198102958,NOCA,2,F,0,6,16,2006,63,10
N,198102959,NOCA,2,M,0,6,16,2006,73,9
N,198102960,NOCA,1,F,4,6,24,2006,62,4
R,198102960,NOCA,1,F,5,8,5,2006,105,4
N,198102961,NOCA,2,M,0,6,24,2006,102,?
N,198102962,NOCA,2,F,0,6,24,2006,102,7
N,198102963,NOCA,2,M,0,6,24,2006,102,7
N,198102964,NOCA,1,M,0,6,24,2006,102,2
N,198102965,NOCA,1,M,0,7,1,2006,62,3
N,198102966,NOCA,1,M,0,7,1,2006,82,4
N,198102967,NOCA,1,F,4,7,1,2006,92,6
N,198102968,NOCA,2,M,0,7,1,2006,102,5
N,198102969,NOCA,2,F,0,7,15,2006,63,3
N,198102970,NOCA,2,M,0,7,15,2006,63,9
N,198102971,NOCA,2,F,0,7,15,2006,93,7
N,198102972,NOCA,2,F,0,7,15,2006,113,2
N,198102973,NOCA,2,M,0,7,22,2006,94,7
N,198102974,NOCA,2,M,0,8,5,2006,65,4
N,198102975,NOCA,2,M,0,8,5,2006,95,2
N,198102976,NOCA,1,M,0,5,24,2007,84,2
R,198102976,NOCA,1,M,0,6,28,2007,93,2
N,198102977,NOCA,1,F,3,5,24,2007,84,8
R,198102977,NOCA,6,F,2,6,22,2008,63,7
N,198102978,NOCA,1,M,0,6,10,2007,113,8
R,198102978,NOCA,1,M,0,7,21,2007,73,8
N,198102979,NOCA,2,U,0,6,28,2007,73,9
N,198102980,NOCA,1,F,4,6,28,2007,73,2
N,198102981,NOCA,2,M,0,6,28,2007,73,3
R,198102981,NOCA,2,M,0,7,21,2007,83,2
R,198102981,NOCA,5,M,0,5,17,2008,64,4
R,198102981,NOCA,5,M,0,5,22,2008,63,4
R,198102981,NOCA,5,M,0,6,7,2008,93,4
N,198102982,NOCA,2,U,0,6,28,2007,103,4
N,198102983,NOCA,2,U,0,6,28,2007,113,8
N,198102984,NOCA,1,F,4,7,5,2007,63,9
R,198102984,NOCA,1,F,3,7,5,2007,103,8
R,198102984,NOCA,6,F,4,5,17,2008,104,9
N,198102985,NOCA,2,U,0,7,5,2007,73,3
N,198102986,NOCA,2,U,0,7,5,2007,83,10
N,198102987,NOCA,2,U,0,7,5,2007,83,10
N,198102988,NOCA,2,F,0,7,14,2007,93,2
R,198102988,NOCA,6,F,4,8,1,2009,64,4
N,198102989,NOCA,2,U,0,7,14,2007,103,9
N,198102990,NOCA,1,F,4,7,21,2007,63,8
R,198102990,NOCA,6,F,3,6,22,2008,63,8
N,198102991,NOCA,2,F,0,7,21,2007,103,1
R,198102991,NOCA,6,F,4,7,10,2010,93,1
N,198102992,NOCA,2,U,0,8,4,2007,64,9
N,198102993,NOCA,2,U,0,8,4,2007,64,3
N,198102994,NOCA,2,U,0,8,4,2007,64,3
N,198102995,NOCA,2,U,0,8,4,2007,94,5
N,198102996,NOCA,1,F,4,8,4,2007,104,5
R,198102996,NOCA,6,F,4,6,7,2008,93,5
R,198102996,NOCA,6,F,4,5,24,2009,93,4
N,198102997,NOCA,2,F,0,8,4,2007,114,10
R,198102997,NOCA,6,F,4,5,12,2009,104,9
